id,song_length_secs,song_length,moment_secs,tastes_id,submits,Song,Artist,URL,Moment,ANT,SPR,PDX,AGR,ALR,GRF,HRM,SZE,PXY,total_pattern,Taste,pattern_combo,sub_cues,total_subcues,is_user_submission,Date,primary_artist,youtube_views,total_artist_follower_count,published,created_at,featured_artists,user_id_of_submitter,user_upvotes,user_total_votes,Votes,yes_votes,no_votes,popularity_score,last_popularity_score,last_popularity_score_update,rank,raw_rank,last_raw_rank,rank_change,week_rank,week_raw_rank,week_last_raw_rank,week_rank_change,last_rank_update,last_week_rank_update,last_featured,broken_link_reported,num_user_favorites,num_user_top_10s,added_to_search_table,artist_updated,error_description
6,369,6:09,130,1,98,To Build A Home,The Cinematic Orchestra,https://www.youtube.com/watch?v=ozqw3UZRsIU,2:10,,1,,,,1,1,,0.5,3.5,Pop/Indie Pop/Afrobeats,12,"[{""pattern"":6,""pattern_sub_cues"":[{""id"":12,""field_0"":""Pitch-raising"",""field_0_name"":""title"",""field_0_type"":""text"",""field_0_list"":false,""field_1"":12,""field_1_name"":""id"",""field_1_type"":""int"",""field_1_list"":false},{""id"":14,""field_0"":""Gliding"",""field_0_name"":""title"",""field_0_type"":""text"",""field_0_list"":false,""field_1"":14,""field_1_name"":""id"",""field_1_type"":""int"",""field_1_list"":false}],""@pattern"":{""id"":6,""field_0"":""Grief"",""field_0_name"":""Pattern_name_full"",""field_0_type"":""text"",""field_0_list"":false,""field_1"":6,""field_1_name"":""id"",""field_1_type"":""int"",""field_1_list"":false}},{""pattern"":7,""pattern_sub_cues"":[{""id"":16,""field_0"":""Tonal smoothness"",""field_0_name"":""title"",""field_0_type"":""text"",""field_0_list"":false,""field_1"":16,""field_1_name"":""id"",""field_1_type"":""int"",""field_1_list"":false},{""id"":18,""field_0"":""Perfect intervals"",""field_0_name"":""title"",""field_0_type"":""text"",""field_0_list"":false,""field_1"":18,""field_1_name"":""id"",""field_1_type"":""int"",""field_1_list"":false}],""@pattern"":{""id"":7,""field_0"":""Harmonicity"",""field_0_name"":""Pattern_name_full"",""field_0_type"":""text"",""field_0_list"":false,""field_1"":7,""field_1_name"":""id"",""field_1_type"":""int"",""field_1_list"":false}},{""pattern"":8,""pattern_sub_cues"":[{""id"":22,""field_0"":""ASMR triggers"",""field_0_name"":""title"",""field_0_type"":""text"",""field_0_list"":false,""field_1"":22,""field_1_name"":""id"",""field_1_type"":""int"",""field_1_list"":false}],""@pattern"":{""id"":8,""field_0"":""Proximity"",""field_0_name"":""Pattern_name_full"",""field_0_type"":""text"",""field_0_list"":false,""field_1"":8,""field_1_name"":""id"",""field_1_type"":""int"",""field_1_list"":false}},{""pattern"":12,""pattern_sub_cues"":[{""id"":43,""field_0"":""Harmonic surprise"",""field_0_name"":""title"",""field_0_type"":""text"",""field_0_list"":false,""field_1"":43,""field_1_name"":""id"",""field_1_type"":""int"",""field_1_list"":false},{""id"":42,""field_0"":""Sonic surprise"",""field_0_name"":""title"",""field_0_type"":""text"",""field_0_list"":false,""field_1"":42,""field_1_name"":""id"",""field_1_type"":""int"",""field_1_list"":false}],""@pattern"":{""id"":12,""field_0"":""Surprise"",""field_0_name"":""Pattern_name_full"",""field_0_type"":""text"",""field_0_list"":false,""field_1"":12,""field_1_name"":""id"",""field_1_type"":""int"",""field_1_list"":false}}]",7,,1171238400000,960,577658344,6160938,1,0,[],0,2,3,0,0,0,97.855716425362,,1752446866326,0.99,69,69,0,9,69,69,0,1772438422782,1772438422782,,1,1,0,1,1,CalledProcessError: ERROR: [youtube] ozqw3UZRsIU: Video unavailable. This video is not available
46,254,4:14,150,14,97,505,Arctic Monkeys,https://www.youtube.com/watch?v=KfEEm4Zx-EU,2:30,,1,,1,,1,,0.5,,3.5,Alternative/Indie,1342,[],0,,1415404800000,828,1508938374,50191942,1,0,[],0,0,1,0,0,0,96.951524237881,,1752446869487,-0.85,180,180,0,158,180,180,0,1772438439372,1772438439372,,,0,0,1,1,CalledProcessError: ERROR: [youtube] KfEEm4Zx-EU: Video unavailable. This video is not available
64,236,3:56,140,2,91,Come Thru,Drake,https://www.youtube.com/watch?v=RK8rld1IrVo,2:20,,1,,,,0.5,,1,1,3.5,Hip Hop/Urbano Latino/Rap,466,[],0,,1374537600000,255,142848945,83396748,1,0,[],0,0,0,0,0,0,97,,1752446870920,0,85,85,0,57,85,85,0,1772438424958,1772438424962,,,0,0,1,1,CalledProcessError: ERROR: [youtube] RK8rld1IrVo: Video unavailable. This video is not available
71,192,3:12,146,1,98,Drop It Low (feat. Chris Brown),Ester Dean,https://www.youtube.com/watch?v=iqSb9leBV-o,2:26,,1,,,,1,0.5,1,,3.5,Pop/Indie Pop/Afrobeats,32,[],0,,1248825600000,1783,61839384,1157849,1,0,[],0,1,1,0,0,0,97.951524237881,,1752446871383,0.61,31,31,0,106,31,31,0,1772438417764,1772438417764,,,0,0,1,1,CalledProcessError: ERROR: [youtube] iqSb9leBV-o: Video unavailable. This video is not available
113,236,3:56,82,3,97,Sweet Disposition,The Temper Trap,https://www.youtube.com/watch?v=z68L6lG_vmA,1:22,,1,,,,1,0.5,1,,3.5,Rock,26,[],0,1,1205798400000,735,564657768,7140938,1,1721728003000,[],0,0,0,0,0,0,97,,1752446874736,-0.28,102,102,0,114,102,102,0,1772438426849,1772438426849,,,0,0,1,1,CalledProcessError: ERROR: [youtube] z68L6lG_vmA: Video unavailable. This video is not available
147,302,5:02,109,9,96,Canon in D,"Pachelbel (Sir Neville Marriner, Academy of St. Martin in the Fields)",https://www.youtube.com/watch?v=iHSu_Av7iKI,1:49,,1,,,,0.5,1,1,,3.5,Classical/Orchestral/Soundtrack,6,[],0,,1437004800000,1496,82710938,2260765,1,0,"[{""id"":1497,""field_0"":""Academy of St. Martin in the Fields)"",""field_0_name"":""name"",""field_0_type"":""text"",""field_0_list"":false,""field_1"":1497,""field_1_name"":""id"",""field_1_type"":""int"",""field_1_list"":false}]",0,0,0,0,0,0,96,,1752446877864,-1.79,220,220,0,233,220,220,0,1772438445972,1772438445972,,,0,0,1,1,CalledProcessError: ERROR: [youtube] iHSu_Av7iKI: Video unavailable. This video is not available
157,567,9:27,436,4,96,Deconstruction,Devin Townsend Project,https://www.youtube.com/watch?v=vQWo0YSdKGQ,7:16,,1,,,,1,1,0.5,,3.5,Metal/Hard Rock/Hardcore,36,[],0,,1505088000000,34,421356,130030,1,0,[],0,0,0,0,0,0,96,,1752446878563,-2.53,223,223,0,186,223,223,0,1772438446456,1772438446456,,,0,0,1,1,CalledProcessError: ERROR: [youtube] vQWo0YSdKGQ: Video unavailable. This video is not available
194,168,2:48,136,11,94,Lie Ciocârlie,Maria Ciobanu,https://www.youtube.com/watch?v=l9Y6aDIFOu0,2:16,,1,,,0.5,1,1,,,3.5,World/Traditional,161,[],0,,851904000000,2421,84251,4351,1,0,[],0,1,1,0,0,0,95.952523738131,,1752446882166,-2.67,371,371,0,350,371,371,0,1772438472352,1772438472352,,,0,0,1,1,CalledProcessError: ERROR: [youtube] l9Y6aDIFOu0: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
224,254,4:14,44,4,93,Raining Blood,Slayer,https://www.youtube.com/watch?v=hFjoOOPU6Xo,0:44,,1,,1,,,0.5,1,,3.5,Metal/Hard Rock/Hardcore,200,[],0,,523152000000,470,191089734,4921039,1,0,[],0,0,0,0,0,0,96,,1752446884615,-1.43,239,239,0,188,239,239,0,1772438449866,1772438449866,,,0,0,1,1,CalledProcessError: ERROR: [youtube] hFjoOOPU6Xo: Video unavailable. This video is not available
228,266,4:26,58,3,95,Runaway Train,Soul Asylum,https://www.youtube.com/watch?v=5cRopUrDgRQ,0:58,,1,,,,0.5,1,1,,3.5,Rock,33,[],0,,694224000000,4246,284569355,2159387,1,0,[],0,0,0,0,0,0,96,,1752446885023,-1.9,242,242,0,223,242,242,0,1772438450363,1772438450363,,,0,0,1,1,CalledProcessError: ERROR: [youtube] 5cRopUrDgRQ: Sign in to confirm your age. This video may be inappropriate for some users. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
