epoch,train_loss,val_loss,macro_auroc,macro_f1,micro_f1,f1_any_pattern
1,0.642690,0.620534,0.529082,0.000000,0.000000,0.000000
2,0.621426,0.582453,0.592214,0.000000,0.000000,0.000000
3,0.604589,0.563565,0.639801,0.000000,0.000000,0.000000
4,0.587894,0.548091,0.654569,0.000000,0.000000,0.000000
5,0.579611,0.539992,0.664500,0.000000,0.000000,0.000000
6,0.568312,0.535816,0.673368,0.000000,0.000000,0.000000
7,0.558475,0.531800,0.681203,0.000000,0.000000,0.000000
8,0.548850,0.528268,0.688065,0.003687,0.003687,0.003687
9,0.539928,0.525770,0.694359,0.005520,0.005520,0.005520
10,0.527954,0.522293,0.699902,0.019946,0.019946,0.019946
11,0.520644,0.519315,0.705535,0.037534,0.037534,0.037534
12,0.511390,0.517175,0.710636,0.039286,0.039286,0.039286
13,0.506962,0.514124,0.715213,0.069626,0.069626,0.069626
14,0.501185,0.511819,0.719489,0.091065,0.091065,0.091065
15,0.494009,0.509541,0.723763,0.102041,0.102041,0.102041
16,0.487734,0.507033,0.727619,0.121667,0.121667,0.121667
17,0.481516,0.504771,0.731489,0.148208,0.148208,0.148208
18,0.476630,0.502700,0.735344,0.145782,0.145782,0.145782
19,0.470940,0.500559,0.738794,0.158704,0.158704,0.158704
20,0.464770,0.498521,0.742078,0.180960,0.180960,0.180960
21,0.458789,0.496499,0.745204,0.189507,0.189507,0.189507
22,0.453830,0.494317,0.748152,0.210607,0.210607,0.210607
23,0.449999,0.492281,0.751206,0.227581,0.227581,0.227581
24,0.442068,0.490509,0.753722,0.232210,0.232210,0.232210
25,0.439276,0.488659,0.756140,0.242963,0.242963,0.242963
26,0.434274,0.486899,0.758552,0.253852,0.253852,0.253852
27,0.427993,0.485079,0.760890,0.273578,0.273578,0.273578
28,0.425880,0.483533,0.763006,0.285305,0.285305,0.285305
29,0.421224,0.481732,0.765314,0.331514,0.331514,0.331514
30,0.415412,0.480363,0.767050,0.309091,0.309091,0.309091
31,0.409415,0.478838,0.769006,0.315936,0.315936,0.315936
32,0.405035,0.477602,0.770689,0.313152,0.313152,0.313152
33,0.400756,0.476427,0.771792,0.329201,0.329201,0.329201
34,0.396646,0.474992,0.773349,0.353257,0.353257,0.353257
35,0.391329,0.474110,0.774489,0.353569,0.353569,0.353569
36,0.386461,0.472595,0.776296,0.380704,0.380704,0.380704
37,0.383151,0.471619,0.777451,0.379085,0.379085,0.379085
38,0.378112,0.471047,0.778546,0.360852,0.360852,0.360852
39,0.375148,0.469634,0.779522,0.407057,0.407057,0.407057
40,0.369581,0.469028,0.780653,0.384715,0.384715,0.384715
41,0.364181,0.467907,0.781502,0.408318,0.408318,0.408318
42,0.362999,0.467312,0.782172,0.410579,0.410579,0.410579
43,0.358298,0.466520,0.783327,0.407125,0.407125,0.407125
44,0.351165,0.465556,0.784695,0.401274,0.401274,0.401274
45,0.349398,0.464715,0.785363,0.420398,0.420398,0.420398
46,0.344372,0.464141,0.786106,0.416719,0.416719,0.416719
47,0.341081,0.463578,0.787109,0.413098,0.413098,0.413098
48,0.336707,0.462841,0.787583,0.437576,0.437576,0.437576
49,0.332360,0.462162,0.788617,0.422693,0.422693,0.422693
50,0.327581,0.461363,0.789281,0.451613,0.451613,0.451613
51,0.324957,0.461734,0.789905,0.419395,0.419395,0.419395
52,0.322031,0.460480,0.790517,0.444037,0.444037,0.444037
53,0.315182,0.460853,0.791136,0.420126,0.420126,0.420126
54,0.311666,0.459514,0.791715,0.447416,0.447416,0.447416
55,0.307565,0.458606,0.792795,0.452080,0.452080,0.452080
56,0.303857,0.458966,0.793094,0.440887,0.440887,0.440887
57,0.300945,0.457890,0.793900,0.450483,0.450483,0.450483
